x1,y1,z1,x2,y2,z2
1.0,0.0,0.0,0.9510565163,0.3090169944,0.2022542486
0.9510565163,0.3090169944,0.2022542486,0.8090169944,0.5877852523,0.358727906
0.8090169944,0.5877852523,0.358727906,0.5877852523,0.8090169944,0.4132923872
0.5877852523,0.8090169944,0.4132923872,0.3090169944,0.9510565163,0.3522585738
0.3090169944,0.9510565163,0.3522585738,0.0,1.0,0.1931851653
0.0,1.0,0.1931851653,-0.3090169944,0.9510565163,-0.0161940609
-0.3090169944,0.9510565163,-0.0161940609,-0.5877852523,0.8090169944,-0.2022542486
-0.5877852523,0.8090169944,-0.2022542486,-0.8090169944,0.5877852523,-0.3195584164
-0.8090169944,0.5877852523,-0.3195584164,-0.9510565163,0.3090169944,-0.358727906
-0.9510565163,0.3090169944,-0.358727906,-1.0,0.0,-0.3195584164
-1.0,0.0,-0.3195584164,-0.9510565163,-0.3090169944,-0.2022542486
-0.9510565163,-0.3090169944,-0.2022542486,-0.8090169944,-0.5877852523,-0.0161940609
-0.8090169944,-0.5877852523,-0.0161940609,-0.5877852523,-0.8090169944,0.1931851653
-0.5877852523,-0.8090169944,0.1931851653,-0.3090169944,-0.9510565163,0.3522585738
-0.3090169944,-0.9510565163,0.3522585738,-0.0,-1.0,0.4132923872
-0.0,-1.0,0.4132923872,0.3090169944,-0.9510565163,0.358727906
0.3090169944,-0.9510565163,0.358727906,0.5877852523,-0.8090169944,0.2022542486
0.5877852523,-0.8090169944,0.2022542486,0.8090169944,-0.5877852523,-0.0161940609
0.8090169944,-0.5877852523,-0.0161940609,0.9510565163,-0.3090169944,-0.2022542486
0.9510565163,-0.3090169944,-0.2022542486,1.0,-0.0,-0.3195584164
