NumeroDia,Fecha,Confirmados,Sospechosos,Negativos,Defunciones
1,2/27/2020,1,0,0,0
2,2/28/2020,2,0,0,0
3,2/29/2020,5,0,0,0
4,3/1/2020,5,0,0,0
5,3/2/2020,5,0,0,0
6,3/3/2020,5,0,0,0
7,3/4/2020,5,0,0,0
8,3/5/2020,5,0,0,0
9,3/6/2020,7,0,0,0
10,3/7/2020,7,0,0,0
11,3/8/2020,7,0,0,0
12,3/9/2020,7,0,0,0
13,3/10/2020,11,0,0,0
14,3/11/2020,12,0,0,0
15,3/12/2020,26,0,0,0
16,3/13/2020,41,0,0,0
17,3/14/2020,53,0,0,0
18,3/15/2020,53,0,0,0
19,3/16/2020,82,0,0,0
20,3/17/2020,93,0,0,0
21,3/18/2020,118,0,0,1
22,3/19/2020,164,0,0,1
23,3/20/2020,164,0,0,1
24,3/21/2020,251,697,1463,2
25,3/22/2020,316,793,1667,2
26,3/23/2020,367,826,1865,4
27,3/24/2020,405,1219,2161,5
28,3/25/2020,475,1656,2445,6
29,3/26/2020,585,2156,2965,8
30,3/27/2020,717,2475,3542,12
31,3/28/2020,848,2623,4341,16
32,3/29/2020,993,2564,4955,20
33,3/30/2020,1094,2752,5635,28
34,3/31/2020,1215,3511,6282,29
35,4/1/2020,1378,3827,7073,37
36,4/2/2020,1510,4653,7822,50
37,4/3/2020,1688,5398,8602,60
38,4/4/2020,1890,5827,9467,79
39,4/5/2020,2143,5209,10682,94
40,4/6/2020,2439,6295,11741,125
41,4/7/2020,2785,7526,15099,141
42,4/8/2020,3181,9188,17209,174
43,4/9/2020,3441,10105,17950,194
44,4/10/2020,3844,10300,19749,233
45,4/11/2020,4219,9983,21277,273
46,4/12/2020,4661,8697,21943,296
47,4/13/2020,5014,9341,23040,332
48,4/14/2020,5399,10792,23900,406
49,4/15/2020,5847,11717,25138,449
50,4/16/2020,6297,12340,26511,486
51,4/17/2020,6875,13364,28126,546
52,4/18/2020,7497,12369,29301,650
53,4/19/2020,8261,10139,31170,686
54,4/20/2020,8772,9653,32490,712
55,4/21/2020,9501,8262,33871,857
56,4/22/2020,10544,7706,37444,970
57,4/23/2020,11633,7588,39664,1069
